time,vibrationLevel_4267,mean
2023-08-25 11:07:56.532000+00:00,0.0597,0.0597
2023-08-25 08:11:52.308000+00:00,0.094,0.094
2023-08-25 05:05:49.079000+00:00,0.1764,0.1764
2023-08-25 02:04:58.697000+00:00,0.0,0.0
2023-08-24 23:04:32.277000+00:00,0.0,0.0
2023-08-24 20:04:01.385000+00:00,0.0,0.0
2023-08-24 17:08:36.144000+00:00,0.0954,0.0954
2023-08-24 14:07:39.570000+00:00,0.0966,0.0966
2023-08-24 11:04:03.604000+00:00,0.0066,0.0066
2023-08-24 08:05:27.810000+00:00,0.0842,0.0842
2023-08-24 05:04:38.694000+00:00,0.2164,0.2164
2023-08-24 02:08:42.609000+00:00,0.0,0.0
2023-08-23 23:08:12.596000+00:00,0.0,0.0
2023-08-23 20:07:47.377000+00:00,0.0,0.0
2023-08-23 17:07:16.303000+00:00,0.1,0.1
2023-08-23 14:08:48.443000+00:00,0.0965,0.0965
2023-08-23 11:05:01.403000+00:00,0.0021,0.0021
2023-08-23 08:10:53.322000+00:00,0.0832,0.0832
2023-08-23 05:05:04.146000+00:00,0.1005,0.1005
2023-08-23 02:06:04.758000+00:00,0.0,0.0
2023-08-22 23:05:29.457000+00:00,0.0,0.0
2023-08-22 20:05:03.547000+00:00,0.0472,0.0472
2023-08-22 14:08:39.022000+00:00,0.0737,0.0737
2023-08-22 11:05:23.909000+00:00,0.0034,0.0034
2023-08-22 08:07:06.078000+00:00,0.0795,0.0795
2023-08-22 05:06:27.901000+00:00,0.1571,0.1571
2023-08-22 02:05:39.920000+00:00,0.0,0.0
2023-08-21 23:05:14.746000+00:00,0.0,0.0
2023-08-21 20:04:33.728000+00:00,0.0,0.0
2023-08-21 17:04:03.030000+00:00,0.0935,0.0935
2023-08-21 14:08:11.193000+00:00,0.0974,0.0974
2023-08-21 11:09:56.162000+00:00,0.0023,0.0023
2023-08-21 08:04:54.502000+00:00,0.1268,0.1268
2023-08-21 05:06:42.344000+00:00,0.058,0.058
2023-08-21 02:05:09.229000+00:00,0.0,0.0
2023-08-20 23:04:44.410000+00:00,0.0,0.0
2023-08-20 20:04:18.327000+00:00,0.0,0.0
2023-08-20 17:03:42.817000+00:00,0.1076,0.1076
2023-08-20 14:05:08.367000+00:00,0.0968,0.0968
2023-08-20 11:04:15.299000+00:00,0.1008,0.1008
2023-08-20 08:08:20.490000+00:00,0.126,0.126
2023-08-20 05:07:03.099000+00:00,0.002,0.002
2023-08-20 02:08:10.198000+00:00,0.0022,0.0022
2023-08-19 23:04:25.225000+00:00,0.0,0.0
2023-08-19 20:07:27.702000+00:00,0.0021,0.0021
2023-08-19 17:08:21.135000+00:00,0.1071,0.1071
2023-08-19 14:06:43.716000+00:00,0.0975,0.0975
2023-08-19 11:08:16.001000+00:00,0.0961,0.0961
2023-08-19 08:07:19.633000+00:00,0.0023,0.0023
2023-08-19 05:03:47.090000+00:00,0.0,0.0
2023-08-19 02:08:20.828000+00:00,0.0,0.0
2023-08-18 23:07:50.078000+00:00,0.0568,0.0568
2023-08-18 20:07:08.137000+00:00,0.0764,0.0764
2023-08-18 17:07:20.183000+00:00,0.0925,0.0925
2023-08-18 14:08:22.157000+00:00,0.1113,0.1113
2023-08-18 11:07:26.665000+00:00,0.1797,0.1797
2023-08-18 08:03:54.759000+00:00,0.1326,0.1326
2023-08-18 05:08:08.185000+00:00,0.0538,0.0538
2023-08-18 02:07:22.585000+00:00,0.0,0.0
2023-08-17 23:06:52.315000+00:00,0.0,0.0
2023-08-17 20:06:15.343000+00:00,0.0,0.0
2023-08-17 17:05:48.625000+00:00,0.1369,0.1369
2023-08-17 14:04:50.014000+00:00,0.1274,0.1274
2023-08-17 11:06:21.657000+00:00,0.1288,0.1288
2023-08-17 08:05:20.301000+00:00,0.105,0.105
2023-08-17 05:04:39.960000+00:00,0.0519,0.0519
2023-08-17 02:08:14.904000+00:00,0.0,0.0
2023-08-16 23:07:44.756000+00:00,0.0,0.0
2023-08-16 20:07:14.009000+00:00,0.0,0.0
2023-08-16 17:06:48.437000+00:00,0.0986,0.0986
2023-08-16 14:08:23.982000+00:00,0.0946,0.0946
2023-08-16 11:07:22.195000+00:00,0.0862,0.0862
2023-08-16 08:05:21.057000+00:00,0.1156,0.1156
2023-08-16 05:04:36.793000+00:00,0.0423,0.0423
2023-08-16 02:08:15.741000+00:00,0.0,0.0
2023-08-15 23:07:44.347000+00:00,0.0,0.0
2023-08-15 20:06:52.398000+00:00,0.0,0.0
2023-08-15 17:06:16.424000+00:00,0.0971,0.0971
2023-08-15 14:05:16.588000+00:00,0.1052,0.1052
2023-08-15 11:04:30.873000+00:00,0.086,0.086
